Entry_ID,Category,Subcategory,Organisation,Name_Nepali,Description,Province,District,Palika,Ward,Address,Primary_Phone,Secondary_Phone,Hotline_Code,Fax,Email,Website,Key_Persons,Department,Working_Hours,Is_24_7,Is_Emergency,Source_Name,Source_Type,Data_Source_URL,Verification_Status,Confidence_Level,Last_Checked,Notes,Palika_Category_Status
NEP-NAT-0001,Emergency Services,Police Emergency,Nepal Police Control,नेपाल प्रहरी कन्ट्रोल,National police emergency control number,National,National,National,,,,,100,,,https://www.nepalpolice.gov.np/,,Nepal Police,,,Yes,Nepal Police,Official Police,https://www.nepalpolice.gov.np/,Verified,High,2026-06-27,Official Nepal Police homepage lists police control as 100. NTA National Numbering Allocation Plan also assigns 100 to Police. 24/7 not explicitly stated on source.,Completed
NEP-NAT-0002,Government Complaints,Police Toll Free,Nepal Police Toll Free,नेपाल प्रहरी टोल फ्री नं.,Toll-free contact listed by Nepal Police,National,National,National,,,,,16600141516,,,https://www.nepalpolice.gov.np/,,Nepal Police,,,No,Nepal Police,Official Police,https://www.nepalpolice.gov.np/,Verified,High,2026-06-25,Official Nepal Police homepage lists toll-free number 16600141516.,Completed
NEP-NAT-0003,Women & Children,Gender-Based Violence Helpline,National Women Commission Khabar Garau 1145,खबर गरौं ११४५,Free helpline service for gender-based violence and violence against women,National,National,National,,"National Women Commission, Kathmandu",+977-01-4256701,+977-01-4250246,1145,,info@nwc.gov.np; casemanagement@nwc.gov.np,https://nwchelpline.gov.np/,,National Women Commission,,Yes,Yes,National Women Commission / Khabar Garau Helpline,Official Government,https://nwchelpline.gov.np/,Verified,High,2026-06-25,"Helpline site says 1145 is free and operates 24 hours a day, seven days a week. NWC site also lists toll-free 1145.",Completed
KMC-INFO-0001,Information & Inquiry,Call Center,Kathmandu Metropolitan City Call Center,कल सेन्टर,Official municipal call center for public inquiries and grievances,Bagmati,Kathmandu,Kathmandu Metropolitan City,,Kathmandu Metropolitan City,16600105511,,1180,,gunaso@kathmandu.gov.np,https://kathmandu.gov.np/,,Call Center,,,No,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%95%E0%A4%B2-%E0%A4%B8%E0%A5%87%E0%A4%A8%E0%A5%8D%E0%A4%9F%E0%A4%B0,Verified,High,2026-06-25,Official KMC call center page lists contact number 1180 / 16600105511 and email gunaso@kathmandu.gov.np.,Completed
KMC-GOV-0001,Government Services,Municipal Office,Kathmandu Metropolitan City Office,काठमाडौँ महानगरपालिका नगर कार्यपालिकाको कार्यालय,Official municipal office contact,Bagmati,Kathmandu,Kathmandu Metropolitan City,,"Kathmandu Plaza, Kamaladi",16600105511,,1180,,mayor@kathmandu.gov.np; ceo@kathmandu.gov.np; info@kathmandu.gov.np,https://kathmandu.gov.np/,,Municipal Office,,,No,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department,Verified,High,2026-06-25,"Official KMC department/contact page lists office address, hotline/contact 1180 / 16600105511, and official emails.",Completed
KMC-POL-0001,Police & Security,Municipal Police,Kathmandu Metropolitan City Police Force,महानगर प्रहरी बल,Municipal police force and control-room contacts published by Kathmandu Metropolitan City,Bagmati,Kathmandu,Kathmandu Metropolitan City,,"Bagdurbar, Kathmandu",9851356509,9851038845,,,metropolice@kathmandu.gov.np,https://kathmandu.gov.np/,Rajunath Pandey - Senior Municipal Police Superintendent - 9851038845,Metropolitan Police Force,,,No,Kathmandu Metropolitan City Contact Page,Official Municipality,https://new.kathmandu.gov.np/np/contact,Verified,High,2026-06-27,Official KMC contact page lists Metropolitan Police Force control room 9851356509 and metropolice@kathmandu.gov.np. Earlier official KMC department page lists Senior Municipal Police Superintendent Rajunath Pandey at 9851038845; kept as secondary/role contact.,Completed
KMC-POL-0002,Police & Security,Traffic Police,Kathmandu Valley Traffic Police Control,काठमाडौँ उपत्यका ट्राफिक प्रहरी कार्यालय,Traffic police control contact for Kathmandu Valley,Bagmati,Kathmandu,Kathmandu Metropolitan City,,"Kathmandu, Nepal",+977-01-5319641,,103,,vtpo@nepalpolice.gov.np,https://traffic.nepalpolice.gov.np/,,Kathmandu Valley Traffic Police Office,,,Yes,Kathmandu Valley Traffic Police Office,Official Police,https://traffic.nepalpolice.gov.np/,Verified,High,2026-06-25,Official Traffic Police homepage lists traffic control 103 and contact +977-01-5319641. 24/7 not explicitly stated on source.,Completed
KMC-HEALTH-0001,Health & Ambulance,Health Department,Kathmandu Metropolitan City Health Department,स्वास्थ्य विभाग,Official municipal health department contact,Bagmati,Kathmandu,Kathmandu Metropolitan City,,"Kathmandu Plaza, Kamaladi",01-4168729,,,,health.dept@kathmandu.gov.np,https://kathmandu.gov.np/,Deepak Kumar K.C. - Department Head - 9851069365,Health Department,,,No,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A5%8D%E0%A4%AF-%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%97,Verified,High,2026-06-25,Official KMC Health Department page lists department phone and email; department head mobile is included as official role contact in Key_Persons.,Completed
KMC-DIS-0001,Disaster & Rescue,Disaster Management Department,Kathmandu Metropolitan City Disaster Management Department,विपद् व्यवस्थापन विभाग,Official municipal disaster management department contact,Bagmati,Kathmandu,Kathmandu Metropolitan City,,"Kathmandu Plaza, Kamaladi",9854045702,,,,disaster@kathmandu.gov.np,https://kathmandu.gov.np/,Jagdish Aryal - Department Head - 9854045702,Disaster Management Department,,,No,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%B5%E0%A4%BF%E0%A4%AA%E0%A4%A6%E0%A5%8D-%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8-%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%97,Verified,High,2026-06-25,Department page has email disaster@kathmandu.gov.np but no department-level phone shown; primary phone uses the officially published department head role contact.,Completed
NEP-NAT-0004,Emergency Services,Fire Brigade Short Code,Fire Brigade Emergency Service,दमकल सेवा,National short code assigned for fire brigade services,National,National,National,,,,,101,,,,,Fire Brigade,,,Yes,Nepal Telecommunications Authority National Numbering Allocation Plan,Official Government,https://www.nta.gov.np/uploads/contents/National%20Numbering%20Allocation%20Plan.pdf,Verified,High,2026-06-27,Official NTA National Numbering Allocation Plan lists Fire Brigade short code 101. 24/7 not explicitly stated on source.,Completed
