entry_id,organisation,category,source_name,source_type,source_url,verification_status,last_checked
NEP-NAT-0001,Nepal Police Control,Emergency Services,Nepal Police,Official Police,https://www.nepalpolice.gov.np/,Verified,2026-06-27
NEP-NAT-0002,Nepal Police Toll Free,Government Complaints,Nepal Police,Official Police,https://www.nepalpolice.gov.np/,Verified,2026-06-25
NEP-NAT-0003,National Women Commission Khabar Garau 1145,Women & Children,National Women Commission / Khabar Garau Helpline,Official Government,https://nwchelpline.gov.np/,Verified,2026-06-25
KMC-INFO-0001,Kathmandu Metropolitan City Call Center,Information & Inquiry,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%95%E0%A4%B2-%E0%A4%B8%E0%A5%87%E0%A4%A8%E0%A5%8D%E0%A4%9F%E0%A4%B0,Verified,2026-06-25
KMC-GOV-0001,Kathmandu Metropolitan City Office,Government Services,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department,Verified,2026-06-25
KMC-POL-0001,Kathmandu Metropolitan City Police Force,Police & Security,Kathmandu Metropolitan City Contact Page,Official Municipality,https://new.kathmandu.gov.np/np/contact,Verified,2026-06-27
KMC-POL-0002,Kathmandu Valley Traffic Police Control,Police & Security,Kathmandu Valley Traffic Police Office,Official Police,https://traffic.nepalpolice.gov.np/,Verified,2026-06-25
KMC-HEALTH-0001,Kathmandu Metropolitan City Health Department,Health & Ambulance,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A5%8D%E0%A4%AF-%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%97,Verified,2026-06-25
KMC-DIS-0001,Kathmandu Metropolitan City Disaster Management Department,Disaster & Rescue,Kathmandu Metropolitan City,Official Municipality,https://kathmandu.gov.np/archives/department/%E0%A4%B5%E0%A4%BF%E0%A4%AA%E0%A4%A6%E0%A5%8D-%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%B5%E0%A4%B8%E0%A5%8D%E0%A4%A5%E0%A4%BE%E0%A4%AA%E0%A4%A8-%E0%A4%B5%E0%A4%BF%E0%A4%AD%E0%A4%BE%E0%A4%97,Verified,2026-06-25
NEP-NAT-0004,Fire Brigade Emergency Service,Emergency Services,Nepal Telecommunications Authority National Numbering Allocation Plan,Official Government,https://www.nta.gov.np/uploads/contents/National%20Numbering%20Allocation%20Plan.pdf,Verified,2026-06-27
NEP-NAT-0005,Ambulance Emergency Service,Emergency Services,Nepal Telecommunications Authority National Numbering Allocation Plan,Official Government,https://www.nta.gov.np/uploads/contents/National%20Numbering%20Allocation%20Plan.pdf,Verified,2026-06-27
KMC-EMERG-0001,Kathmandu Metropolitan City Free Ambulance Service,Emergency Services,Kathmandu Metropolitan City Contact Page,Official Municipality,https://new.kathmandu.gov.np/np/contact,Verified,2026-06-27
KMC-EMERG-0002,Kathmandu Metropolitan City Fire Brigade Service,Emergency Services,Kathmandu Metropolitan City Contact Page,Official Municipality,https://new.kathmandu.gov.np/np/contact,Verified,2026-06-27
KMC-POL-0003,Kathmandu Valley Police Office,Police & Security,Kathmandu Valley Police Office,Official Police,https://ktmvalley.nepalpolice.gov.np/structure/police-range-kathmandu/,Verified,2026-06-27
KMC-POL-0004,Kathmandu Valley Crime Investigation Office,Police & Security,Kathmandu Valley Crime Investigation Office,Official Police,https://kvcio.nepalpolice.gov.np/contact-us/,Verified,2026-06-27
KMC-POL-0005,Kathmandu Valley Crime Investigation Office Cyber Fraud Report,Police & Security,Kathmandu Valley Crime Investigation Office,Official Police,https://kvcio.nepalpolice.gov.np/contact-us/,Verified,2026-06-27
KMC-HOSP-0001,Chhatrapati Free Clinic Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0002,Kathmandu Model Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0003,ANNAPURNA NEUROLOGICAL HOSPITAL KATHMANDU,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0004,B.P SMRITI COMMUNITY COOPERATIVE HOSPITAL KATHMANDU,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0005,BHAROSA HOSPITAL PVT LTD,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0006,BLUE CROSS HOSPITAL PVT LTD,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0007,CHIRAYU HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0008,ERA International Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0009,EVEREST HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0010,FRONTLINE HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0011,Grande City Hospital,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0012,HELPING HANDS COMMUNITY HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0013,HIMAL HOSPITAL PVT LTD,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0014,HOPE INTERNATIONAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0015,INTERNATIONAL FRIENDSHIP CHILDRENS HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0016,KALIMATI CHEST HOSPITAL (NATA),Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0017,KANTIPUR DENTAL & GENERAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0018,KANTIPUR HOSPITAL KATHMANDU,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0019,KATHMANDU ENT HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0020,KATHMANDU MEDICAL COLLEGE,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0021,MAHENDRANARAYAN NIDHI MEMORIYAL HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0022,MANMOHAN MEMORIAL MEDICAL COLLEGE & TEACHING HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0023,MEDICARE HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
KMC-HOSP-0024,METRO KATHMANDU HOSPITAL,Hospitals,Kathmandu Metropolitan City Free Health Service Portal,Official Municipality,https://freehealth.kathmandu.gov.np/,Verified,2026-06-28
